row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
44,44,"Stainless Steel Kitchen Sink with Faucet: 30-Inch Drop In Single Bowl Farmhouse Workstation Sink - Noise Reducing Design & Accessories Included (Black, 3018)",,HEJEBU,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,283.40,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA6FV9SNKV,17.57,35.14
45,45,"Commercial Floor Mop Sink，Stainless Steel Mop Service Basin，Floor Mount Mop Sink,Vertical industrial Sinks for balconies laundry rooms industries Restaurants (31.49”×16.1”×21.6” inch)",,XCWHDG,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,751654371052,1,280.54,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA6V3QSY3Q,17.40,34.80
46,46,"MELUCEE 2 Pack 40 Inch Outside Wall Lights for House 5 Color Dimmable Outside Wall Led Linear Lights Black Long Exterior Sconce Wall Mount Lighting for Balcony Porch Garage Stair, 3000K-6000K",,MELUCEE,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,272.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69669 | LPN: LPNNA6JRCSCNY,16.93,33.86
47,47,"SUSLUM 50 Pack T8 LED Bulbs 4 Foot, Type A+B Hybrid Replacement for T8 Fluorescent Tube, 14W (32W Equivalent), 5000K Daylight, 2400 Lumens, Shatter Resistant Frosted Cover, G13 Base",,SUSLUM,,BUILDING_AND_HARDWARE,USED_GOOD,,607606210927,1,272.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69699 | LPN: LPNNA6YNKL7QR,16.93,33.86
48,48,"ykolupty Gold Sputnik Chandelier, 12-Light Mid-Century Modern Chandelier Light Fixture for Foyer, Dining Room, Firework Chandelier for Bedroom, Hallway, Entryway 32 inch Dimmable 2700K-6000K",,ykolupty,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,648.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69742 | LPN: LPNNA6Y6Z66KH,40.23,80.46
49,49,"QIDI Q1 Pro 3D Printer, 600mm/s High-Speed Fully Auto Leveling 3D Printers with Camera, 60℃ Chamber Heat, 350°C Print Support Carbon Fiber Filament, Tangle Detection, Printing Size 9.65""x9.65""x9.45""",,R QIDI TECHNOLOGY,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,,1,583.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69661 | LPN: LPNNA6QWBDGZJ,36.20,72.40
50,50,"IDEQUY LED Crystal Ring Chandelier, 47.2'' Gold Crystal Ring Pendant Light for Kitchen Island Modern Linear Oval Chandeliers for Dining Room Dimmable 3000K-6000K",,IDEQUY,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,570.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69372 | LPN: LPNNA6X8JZJYQ,35.39,70.78
51,51,Shial Lighting 10-Light Modern Chandelier for Entrance Crystal Chandeliers for Living Room Gold Pendant Light Fixture Staircase Chandeliers for High Ceilings Dimmable LED Hanging Light with Remote,,Shial Lighting,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,546.00,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69724 | LPN: LPNNA6KCCK5R1,33.86,67.72
52,52,"VonWater C5 Countertop Reverse Osmosis Water Filter, Hot and Cold RO System-3s Instant Hot, 6 Temp Settings 7-Stage RO Filtration Dispenser, NSF/ANSI372/42/58, Portable Pitcher, 3:1 Pure to Drain",,VonWater,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,493.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA6TTXWZN8,30.63,61.26
53,53,HermnJakk Modern Staircase Chandelier LED 6-Rings Foyer Chandeliers for High Ceilings Black Large Chandeliers Remote Control 3000K-6000K Dimmable Pendant Light for Living Room Staircase Entryway,,HermnJakk,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,453.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69519 | LPN: LPNNA63Z6KFTF,28.13,56.26
54,54,36 Inch Stainless Steel Farmhouse Sink Drop In-Hovheir 36x22 Drop In Top Mount Farm Sink Workstation 16 Gauge Stainless Steel Single Bowl Deep Kitchen Sinks Apron Sinks with Cutting Board,,Hovheir,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,450.06,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA6369PQ19,27.91,55.82
55,55,"M MINGLE Pressure Washer Hose Reel 300ft, Heavy Duty Hose Reel, Manual Crank Power Washer Hose Reel with Swivel Arm, Wall/Floor/Truck Mounted, 4000 PSI",,M MINGLE,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,384.07,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-68861 | LPN: LPNNA6XQ5PJCZ,23.82,47.64
56,56,"3/4 HP PB4-60 Booster Pump, Replace for polaris PB4-60 Pool Booster Pump, Fit for polaris 180 280 380 480 3900 Pressure Side Pool Cleaners, 115V/230V 60Hz Pure Copper Motor with Hose & Fittings",,AQOVOR,,BUILDING_AND_HARDWARE,USED_GOOD,,797465855572,1,363.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69856 | LPN: LPNNA64W1TQ3M,22.57,45.14
57,57,"BoomHoze 25x22 Drop In Kitchen Sink, Matte Black Granite Composite Quartz Drop In Sink Single Bowl Outdoor Kitchen Sink 25-inch Utility Drop-In/Topmount with Small Rubber Squeegee",,BoomHoze,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,347.09,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69399 | LPN: LPNNA6RFVXM63,21.52,43.04
58,58,High-end 300W High Bay LED Shop Lights with 120° Reflector 45000lm 5000K UFO LED High Bay Light AC100-277V LED High Bay Lights with Plug and Play-4Pack,,Lightdot,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,338.39,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA6QV8SPSM,20.98,41.96
59,59,"CREWORKS 30L Digital Ultrasonic Cleaning Machine with Heater and Timer, 600W Stainless Steel Ultrasonic Cleaner Machine, 7.9 gal Ultrasonic Parts Cleaner for Retainer Glasses Auto Tool Machine Part",,CREWORKS,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,,1,331.49,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA6SJM1R9B,20.56,41.12
60,60,"Phylluz 96"" Industrial Ceiling Fans with Lights, Large Ceiling Fan with Remote/APP Control, Outdoor Ceiling Fans with 8 Blades, 3CCT, DC motor for Commercial Shop Garage Warehouse Black",,Phylluz,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,311.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69724 | LPN: LPNNA6R7NR58H,19.35,38.70
61,61,"STERREN 76'' Motion Sensor Floor Lamp, 105W Modern LED Floor Lamp, Smart Full-Spectrum Office Standing Lamp, 8400LM Bright Reading Lamp for Study Room,Living Room,Bedroom, 2700K-5000K Dimmable",,STERREN,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,308.74,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-68868 | LPN: LPNNA6VTXX2RX,19.15,38.30
62,62,"Salaiwei 8-Light Lantern Tiered Pendant Light Fixtures, Black Metal Farmhouse Chandelier Hall Foyer Hanging Chandelier for Kitchen Island Dining Room Living Room Foyer Entryway, Black+Gold",,Salaiwei,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,292.49,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69724 | LPN: LPNNA6T8GZ2YW,18.14,36.28
63,63,Pangda 6 Set Peel and Stick Wall Molding Kit Inner and Outer Layer Style Premade Wainscoting Panel for Interior Wall Moulding Decor Accent Wall Molding (31x54inch),,Pangda,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,272.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69745 | LPN: LPNNA6Z15VXM5,16.93,33.86
